aX,aY,aZ,gX,gY,gZ,target
-4578,-345,9024,339,-128,25,5
-4514,-579,9010,295,-131,94,5
-4484,-488,9147,214,-152,155,5
-4599,-311,9287,131,-171,203,5
-4619,-37,9199,80,-178,243,5
-4907,313,9259,75,-161,222,5
-5053,494,9296,77,-122,148,5
-4965,659,9308,37,-96,63,5
-4965,659,9308,37,-96,63,5
-5070,735,9332,-41,-77,-21,5
-4987,553,9202,-144,-71,-102,5
-4753,172,9020,-229,-91,-147,5
-4567,-94,9262,-266,-83,-143,5
-4484,-399,9635,-243,4,-76,5
-4673,-363,9594,-196,135,3,5
-5016,-163,9458,-178,237,45,5
-4798,699,9209,-286,305,9,5
-5182,1,8044,-391,278,-39,5
-5182,1,8044,-391,278,-39,5
-5280,-510,7354,-285,123,-114,5
-5112,-576,7540,-62,-27,-173,5
-4869,-369,8124,123,-159,-193,5
-5245,-290,8551,230,-219,-215,5
-5155,-147,8983,266,-223,-260,5
-4675,-246,9074,241,-193,-291,5
-4243,-391,9135,189,-111,-252,5
-4127,-367,9121,150,-24,-167,5
-4325,-269,9049,107,30,-82,5
-4697,228,9322,-54,50,-9,5
-4727,159,9268,-63,77,-7,5
-4627,195,8930,-68,99,-4,5
