aX,aY,aZ,gX,gY,gZ,target
-3797,320,9683,-147,9,-1163,3
-3797,320,9683,-147,9,-1163,3
-3756,153,9407,-152,30,-1255,3
-3522,-106,9212,-184,-13,-1318,3
-3096,-1009,9260,-219,-56,-1299,3
-2949,-1733,9297,-243,-79,-1172,3
-3120,-2068,9044,-226,-95,-973,3
-3554,-1240,9481,-48,-26,-309,3
-3553,-1525,9503,-61,-31,-296,3
-3464,-1689,9479,-59,-23,-272,3
-3299,-1755,9579,-47,-1,-225,3
-3426,-1780,9412,-16,28,-171,3
-3425,-1881,9281,-9,40,-135,3
-3265,-2171,9336,1,67,-94,3
-2965,-2499,9193,-39,60,14,3
-2965,-2499,9193,-39,60,14,3
-3069,-2566,9117,-77,11,131,3
-3054,-2697,9302,-94,15,240,3
-3048,-2751,9170,-72,38,368,3
-3176,-2354,9132,-42,47,507,3
-3188,-2057,9038,-23,33,628,3
-3044,-1969,8903,-7,10,756,3
-3198,-1850,8985,6,-3,893,3
-3044,-1789,9075,0,-43,1040,3
-3101,-1745,9178,-39,-117,1211,3
-3101,-1745,9178,-39,-117,1211,3
-2745,-1853,9136,-54,-183,1395,3
-2836,-2325,9347,9,-209,1590,3
-1715,-3170,9602,92,-215,1888,3
-909,-4730,10131,204,-196,2386,3
-336,-6077,11002,432,-67,3101,3
918,-6532,11308,660,210,3900,3
-31,-5879,10012,824,442,4701,3
-591,-4258,9129,913,456,5328,3
-715,-2618,8752,907,295,5692,3
-715,-2618,8752,907,295,5692,3
-141,-1509,9372,829,139,5893,3
254,-573,9353,725,67,6039,3
612,553,9074,618,22,6126,3
281,1338,8800,499,-34,6181,3
-181,2519,8691,396,-105,6156,3
-788,3614,8737,365,-124,5996,3
-995,5123,8958,444,-58,5753,3
-1647,7574,9174,594,58,5415,3
-3495,11036,9491,767,226,4951,3
-3495,11036,9491,885,491,4185,3
-4606,13344,9046,885,491,4185,3
-6911,14110,7373,818,659,3160,3
-5836,13239,6734,557,450,2025,3
-4292,10443,7238,178,118,1105,3
-3024,7847,7569,-24,-1,547,3
-2669,5903,7735,23,62,242,3
-2394,4825,7911,155,155,59,3
-2214,4523,8177,252,204,-23,3
-2262,4841,8518,245,194,-72,3
-2262,4841,8518,155,165,-131,3
-2672,5320,8571,155,165,-131,3
-3159,5935,8446,34,105,-265,3
-3343,6117,8621,-75,43,-470,3
-3524,6228,8597,-124,6,-700,3
-3144,6005,8809,-136,-15,-931,3
-3200,5388,8831,-134,-31,-1128,3
-2699,4883,8973,-106,-45,-1301,3
-3117,4018,8734,-87,-62,-1423,3
-3367,4229,8701,-42,-138,-1519,3
-3367,4229,8924,-80,-234,-1608,3
-2927,4168,8924,-80,-234,-1608,3
-2514,3921,9342,-166,-302,-1651,3
-2519,4246,9761,-219,-298,-1603,3
-3693,5260,9775,-240,-243,-1609,3
-4021,6142,9833,-255,-166,-1806,3
-3343,5937,9670,-316,-69,-2111,3
-3083,4850,9566,-381,3,-2364,3
-2671,3999,9108,-434,29,-2520,3
-3395,3186,8513,-459,12,-2605,3
-2600,2723,8636,-438,-75,-2658,3
-2600,2723,8636,-438,-75,-2658,3
-1864,2178,9147,-441,-130,-2640,3
-1977,1789,9170,-471,-142,-2511,3
-2761,2063,8790,-488,-187,-2360,3
-3203,2346,8744,-470,-251,-2328,3
-3443,2435,9184,-409,-248,-2410,3
-3511,2496,9107,-328,-181,-2532,3
-3576,2437,8884,-262,-129,-2682,3
-3272,2105,8896,-226,-119,-2831,3
-2930,1629,8852,-247,-111,-2928,3
-2930,1629,8852,-247,-111,-2928,3
-2997,726,8373,-296,-130,-2996,3
-2350,266,8385,-397,-245,-2975,3
-1829,-827,8536,-540,-415,-2849,3
-2005,-1537,9102,-582,-498,-2630,3
-2474,-1378,9792,-498,-433,-2402,3
-2956,-1045,9942,-343,-271,-2244,3
-3078,-908,9818,-158,-105,-2169,3
-3113,-870,9578,-10,13,-2118,3
-3189,-999,9170,70,61,-2065,3
-3189,-999,9170,70,61,-2065,3
-3116,-1198,8983,78,28,-2005,3
-2914,-1473,9019,18,-51,-1902,3
-2840,-1454,9318,-48,-120,-1764,3
-2860,-1302,9626,-124,-124,-1635,3
-2926,-1499,9600,-183,-73,-1522,3
-3073,-1901,9455,-199,-12,-1401,3
-2937,-1959,9323,-146,32,-1255,3
-3163,-1750,9401,-64,68,-1110,3
-3376,-1484,9401,24,102,-1005,3
-3376,-1484,9401,24,102,-1005,3
-3437,-1311,9334,83,122,-946,3
-3468,-1400,9265,98,106,-894,3
-3443,-1483,9329,62,53,-835,3
-3329,-1582,9341,17,18,-752,3
-3743,-900,9364,-25,7,-72,3
-3718,-991,9332,-1,21,-68,3
-3665,-1076,9322,6,12,-54,3
-3665,-1076,9322,6,12,-54,3
-3662,-1133,9383,-13,4,-39,3
-3655,-1251,9349,-45,-7,-15,3
-3596,-1335,9385,-68,-20,16,3
-3574,-1399,9371,-80,-21,47,3
-3531,-1457,9332,-80,-18,80,3
-3507,-1536,9306,-67,-15,119,3
