aX,aY,aZ,gX,gY,gZ,target
-1995,2318,14207,-835,-441,-585,4
-573,-1684,14207,-835,-441,-585,4
-746,-4265,13447,-42,-442,-566,4
-1293,-4249,14941,819,-488,-320,4
-1389,-2467,15868,1367,-337,-94,4
-2158,-941,15126,1471,10,39,4
-2714,-120,14281,1234,302,98,4
-2699,148,13630,788,490,118,4
-2791,545,11881,391,606,124,4
-3068,838,10613,116,543,45,4
-2736,546,9560,-75,413,-39,4
-2736,546,9560,-177,350,-77,4
-2603,399,9202,-177,350,-77,4
-2452,19,9136,-219,321,-71,4
-2531,-118,9156,-160,263,-32,4
-2264,110,9168,-45,237,3,4
-2165,244,9071,43,197,43,4
-2232,350,9443,88,173,89,4
-2433,430,9859,97,232,100,4
-2469,358,9951,37,302,74,4
-2531,123,10068,-89,340,45,4
-2531,123,10068,-89,340,45,4
-2476,28,10421,-249,396,26,4
-2494,14,10488,-405,508,11,4
-6346,-653,4553,24,2057,-53,4
-6382,-747,4028,-50,1896,-28,4
-6504,-891,3318,-91,1716,12,4
-6593,-756,2726,-81,1538,50,4
-6829,-446,2266,-38,1331,59,4
-7082,-239,1944,-3,1064,37,4
-7082,-239,1944,37,772,-11,4
-7097,-46,2152,37,772,-11,4
-7129,53,2305,58,521,-73,4
-7109,-15,2118,61,307,-136,4
-7217,-321,1610,51,81,-186,4
-7262,-617,824,39,-211,-216,4
-7210,-750,200,30,-593,-229,4
-7079,-579,-484,-15,-1061,-238,4
-6277,-630,-1513,-85,-1574,-270,4
-5489,-733,-4165,-33,-2072,-228,4
-5486,-380,-7611,196,-2800,-139,4
-5486,-380,-7611,196,-2800,-139,4
-4644,-49,-8837,418,-4112,-139,4
-2067,-516,-6545,483,-5863,-142,4
698,-1887,-2489,331,-7586,34,4
3196,-2458,1529,102,-8917,356,4
4277,-3477,11521,-23,-9699,666,4
4201,-2760,23493,-248,-9123,1009,4
2623,-866,-32435,-594,-6924,1227,4
196,2070,32273,-1066,-3905,1156,4
