aX,aY,aZ,gX,gY,gZ,target
-3996,-652,9050,20,-11,36,2
-4037,-589,9110,21,-18,28,2
-4035,-534,9183,20,-22,15,2
-4035,-569,9279,12,-23,-3,2
-4034,-659,9212,6,-15,-15,2
-3962,-781,9168,10,-9,-13,2
-3986,-734,9120,19,-6,-2,2
-4003,-666,9160,28,-9,9,2
-4019,-473,9235,34,-6,14,2
-4019,-473,9235,34,-6,14,2
-4164,-222,9284,37,4,3,2
-4240,49,9306,39,18,-32,2
-4297,189,9335,45,31,-86,2
-4346,278,9281,53,50,-149,2
-4380,282,9109,73,64,-219,2
-4303,648,9220,111,67,-308,2
-4688,991,9419,143,83,-433,2
-4575,690,9403,158,122,-603,2
-4216,-1,9337,171,163,-738,2
-4216,-1,9337,171,163,-778,2
-3931,-491,9273,186,188,-778,2
-3885,-171,9517,206,186,-771,2
-4682,2135,10214,215,207,-863,2
-5533,4116,10908,174,268,-1219,2
-5746,6221,11565,87,429,-1832,2
-6502,6324,10524,-85,610,-2624,2
-5901,4636,8934,-123,719,-3455,2
-3936,1939,8213,-49,745,-4041,2
-2756,-1128,7609,62,691,-4185,2
-2756,-1128,7609,182,564,-3943,2
-2356,-2885,7383,182,564,-3943,2
-2690,-2415,7612,263,373,-3555,2
-3634,-379,8323,287,211,-3305,2
-4236,1524,9107,254,120,-3401,2
-3680,1451,9799,119,174,-3720,2
-2682,-490,9872,-26,357,-3979,2
-1922,-3451,9154,-103,527,-3983,2
-1344,-5868,8577,-59,582,-3700,2
-1392,-7301,7903,68,536,-3211,2
-1392,-7301,7903,166,383,-2621,2
-1702,-6936,7919,166,383,-2621,2
-2120,-5527,8504,119,162,-2116,2
-2578,-4498,8830,-61,-45,-1806,2
-2579,-3737,9031,-200,-169,-1693,2
-2471,-3663,8968,-251,-189,-1684,2
-1901,-4811,8898,-193,-123,-1656,2
-1597,-6038,8863,-17,4,-1484,2
-1576,-6315,9095,186,125,-1210,2
-1916,-6072,9115,266,189,-910,2
-1916,-6072,8834,283,208,-675,2
-2315,-5309,8834,283,208,-675,2
-2583,-4645,8824,269,205,-545,2
-2575,-4237,8709,244,208,-477,2
-2660,-4121,8542,202,204,-437,2
-2654,-4396,8388,130,155,-402,2
-2778,-4588,8327,63,71,-357,2
-2723,-4917,8231,7,-44,-289,2
-2682,-5252,8293,-10,-119,-201,2
-2577,-5461,8441,-6,-142,-80,2
-2537,-5392,8340,-3,-138,72,2
-2537,-5392,8340,14,-139,221,2
-2499,-4863,8300,14,-139,221,2
-2807,-3896,8361,50,-144,321,2
-3163,-3133,8522,53,-159,318,2
-3209,-3176,8470,23,-190,248,2
-3102,-3696,8604,8,-218,190,2
-2864,-4242,8742,6,-219,205,2
-2797,-4742,8740,-10,-214,286,2
-2581,-5253,8672,-31,-196,434,2
-2551,-5331,8681,-56,-179,633,2
-2551,-5331,8681,-56,-179,633,2
-2606,-5330,8550,-122,-206,847,2
-2648,-5206,8439,-196,-304,1051,2
-2550,-4817,8729,-260,-426,1227,2
-2482,-4356,9014,-311,-506,1368,2
-2512,-4162,9148,-342,-527,1472,2
-2541,-3980,9144,-331,-506,1551,2
-2581,-3852,9035,-277,-464,1621,2
-2629,-3840,8880,-218,-428,1686,2
-2614,-3785,8974,-167,-403,1758,2
-2614,-3785,8974,-167,-403,1758,2
-2591,-3589,9201,-142,-381,1836,2
-2566,-3275,9518,-174,-342,1921,2
-2693,-2803,9780,-240,-285,1988,2
-2919,-2608,9683,-322,-236,2026,2
-3017,-2591,9707,-364,-199,2046,2
-3135,-2453,9628,-372,-150,2058,2
-3400,-2359,9430,-353,-106,2056,2
-3595,-2347,9050,-304,-82,2023,2
-3655,-2352,8707,-235,-97,1985,2
-3655,-2352,8707,-235,-97,1985,2
-3632,-2266,8580,-163,-131,1951,2
-3763,-2252,8557,-89,-162,1914,2
-3543,-2050,8790,-16,-174,1885,2
-3681,-1677,9123,25,-158,1853,2
-3884,-1387,9184,35,-125,1802,2
-4042,-1234,9114,40,-94,1719,2
-4065,-1306,9140,72,-56,1624,2
-4019,-1173,9165,122,-4,1537,2
-4152,-1142,9135,166,42,1463,2
-4152,-1142,9135,201,71,1388,2
-4258,-982,9011,201,71,1388,2
-4358,-847,9010,219,87,1311,2
-4438,-886,8818,220,73,1245,2
-4110,-861,9135,8,-17,18,2
-4110,-831,9138,9,-20,24,2
-4066,-799,9172,7,-19,31,2
-4139,-710,9189,7,-15,35,2
-4169,-607,9162,7,-6,31,2
-4200,-574,9121,7,-1,17,2
-4165,-551,9058,8,4,1,2
-4200,-546,9048,15,1,-9,2
-4200,-546,9048,15,1,-9,2
-4218,-531,9064,23,-4,-20,2
-4277,-508,9123,27,-8,-28,2
-4254,-506,9134,28,-10,-37,2
-4216,-521,9150,27,-6,-42,2
-4274,-506,9102,34,-4,-46,2
-4236,-393,9110,47,-3,-48,2
-4424,-89,9328,65,2,-63,2
-4479,230,9469,78,26,-106,2
-4578,558,9548,86,59,-177,2
-4578,558,9548,86,59,-177,2
-4648,722,9547,94,93,-276,2
-4760,983,9509,112,132,-397,2
-4797,884,9349,130,165,-541,2
-4694,576,9126,155,210,-675,2
-4542,468,9068,163,217,-787,2
-4516,1429,9509,166,206,-897,2
-4998,3148,10334,131,246,-1102,2
-5839,5417,10783,65,378,-1558,2
-6391,6344,9911,-49,535,-2262,2
-6391,6344,9911,-49,535,-2262,2
-6589,5802,8896,-108,607,-3105,2
-5085,4651,8955,-49,622,-3952,2
-3576,2462,8895,7,651,-4509,2
-2910,-75,8333,130,689,-4721,2
-2539,-1935,7944,312,694,-4634,2
-2498,-2700,7987,523,657,-4366,2
-2799,-1942,8133,682,604,-4061,2
-3294,-1210,8508,679,499,-3895,2
-3054,-1118,9180,545,403,-3853,2
-3054,-1118,9180,545,403,-3853,2
-2725,-1959,9274,335,345,-3825,2
-2233,-3483,9078,172,308,-3728,2
-1982,-4473,8955,106,285,-3521,2
-1922,-5264,8760,100,285,-3236,2
-1929,-5728,8616,136,265,-2909,2
-1712,-6089,8719,195,235,-2550,2
-1739,-6442,8748,272,227,-2162,2
-2030,-5833,8827,347,219,-1792,2
-2547,-4049,9001,378,162,-1581,2
-2547,-4049,9001,378,162,-1581,2
-2584,-3635,9097,325,98,-1555,2
-1989,-4448,9322,298,108,-1556,2
-1679,-5474,9278,304,188,-1439,2
-1695,-6009,8859,281,224,-1204,2
-1852,-6244,8772,228,181,-929,2
-2057,-5614,8739,138,101,-679,2
-2109,-5419,8782,14,34,-472,2
-2207,-5609,8464,-65,18,-299,2
-2282,-5685,8145,-65,3,-147,2
-2282,-5685,8145,-19,-32,-9,2
-2225,-5240,8032,-19,-32,-9,2
-2408,-4465,8189,5,-78,83,2
-2565,-4353,8146,-4,-121,114,2
-2449,-4802,8118,-11,-146,120,2
-2316,-5259,8080,0,-142,183,2
-2233,-5636,7946,1,-150,318,2
-2317,-5743,7884,-1,-180,494,2
-2423,-5572,7856,-14,-223,674,2
-2616,-5026,7850,-58,-321,825,2
-2616,-5026,7850,-119,-436,913,2
-2739,-3166,8855,-191,-510,929,2
-2626,-5221,8964,-84,-254,843,2
-2626,-5221,8964,-84,-254,843,2
-2628,-5773,8684,-76,-222,1037,2
-2420,-6149,8336,-114,-269,1306,2
-2246,-5973,8321,-174,-362,1621,2
-2246,-5973,8321,-251,-481,1896,2
-2486,-4868,8813,-251,-481,1896,2
-2754,-3049,9363,-331,-595,2006,2
-2690,-2003,9973,-462,-647,1996,2
-3171,-1804,9981,-583,-619,1906,2
-3248,-1989,10092,-618,-551,1767,2
-3136,-2624,9920,-587,-444,1670,2
-3028,-3326,9713,-497,-326,1662,2
-2930,-3346,9980,-381,-199,1733,2
-3131,-2863,9955,-332,-81,1825,2
-3550,-2547,9534,-356,-26,1896,2
-3550,-2547,9534,-356,-26,1896,2
-3858,-2352,8991,-365,-22,1907,2
-3945,-2371,8653,-326,-51,1883,2
-3890,-2376,8687,-245,-88,1847,2
-3791,-2244,8831,-160,-91,1812,2
-3745,-2230,8880,-109,-72,1792,2
-3793,-2149,8922,-78,-58,1773,2
-3835,-2108,8817,-67,-65,1759,2
-3789,-2139,8754,-60,-91,1748,2
-3640,-2092,8646,-60,-136,1761,2
-3640,-2092,8646,-60,-136,1761,2
-3639,-2202,8653,-60,-193,1781,2
-3641,-2225,8804,-42,-235,1807,2
-3762,-1830,8971,-10,-231,1811,2
-3887,-1398,9183,-9,-202,1773,2
-4127,-1034,9198,-31,-175,1695,2
-4301,-811,9066,-47,-152,1586,2
-4486,-646,8859,-54,-142,1456,2
-4277,-745,9050,3,-1,7,2
-4293,-619,8986,12,3,13,2
-4321,-490,8985,26,-3,10,2
-4363,-406,9029,39,-4,-7,2
-4390,-330,9054,47,0,-32,2
-4413,-279,9160,49,7,-60,2
-4427,-126,9213,48,14,-95,2
-4492,205,9383,51,25,-150,2
-4688,768,9635,53,50,-236,2
-4688,768,9635,53,50,-236,2
-4911,1190,9725,61,109,-379,2
-4835,1261,9744,95,192,-560,2
-4955,1222,9207,120,256,-729,2
-4993,1672,9273,202,264,-931,2
-5312,2496,9280,222,235,-1176,2
-5248,4220,10279,208,204,-1506,2
-6457,7086,11027,172,304,-2093,2
-7354,8634,10230,-9,433,-3012,2
-5894,6482,9309,-178,518,-4082,2
-5894,6482,9309,-178,518,-4082,2
-3334,1735,8559,-160,595,-4836,2
-1753,-2863,8013,59,712,-4921,2
-1555,-5289,7487,315,751,-4457,2
-1648,-5997,7343,544,660,-3789,2
-2788,-4552,7416,728,518,-3131,2
-4115,-1196,8288,786,320,-2839,2
-4119,263,9119,626,140,-2952,2
-3097,-149,9842,400,125,-3197,2
-2450,-1850,9832,202,248,-3337,2
-2450,-1850,9832,202,248,-3337,2
-1802,-4433,8813,125,359,-3251,2
-1526,-6284,8452,269,427,-2936,2
-1637,-6580,8508,400,401,-2449,2
-2277,-5480,8636,390,275,-1968,2
-3017,-3949,8746,268,96,-1690,2
-3037,-2952,8955,114,-64,-1613,2
-2898,-2880,9073,30,-127,-1645,2
-2451,-3702,9303,57,-61,-1659,2
-2254,-4774,9151,150,91,-1577,2
-2254,-4774,9151,150,91,-1577,2
-2094,-5467,9152,247,209,-1411,2
-2225,-5643,8935,277,252,-1175,2
-2476,-5350,8761,269,226,-945,2
-2656,-4814,8699,230,183,-784,2
-2536,-4840,8553,171,136,-665,2
-2423,-4930,8526,137,95,-540,2
-2352,-4825,8529,98,64,-401,2
-2537,-4654,8505,19,5,-274,2
-2599,-4677,8517,-64,-60,-181,2
